Node,WiD1,WiD2,WiD3,WiH1,WiH2,WiH3
0,180,3637,103094,31,1525,36208
1,23,789,16344,12,248,6932
2,96,2153,52820,21,868,20307
3,89,2170,51959,22,828,20361
4,101,2208,53680,21,870,20606
5,23,625,13827,11,232,5689
6,98,2520,62133,25,948,24029
7,97,2396,58310,24,928,22763
8,92,1772,44624,18,770,16808
9,108,2359,59133,23,963,22500
10,32,1055,23439,13,342,9573
11,133,2247,64080,21,1055,22048
12,70,1575,37443,18,630,14707
13,78,1648,40953,19,689,15762
14,137,2353,64193,23,1096,22815
15,38,1033,22376,13,370,9323
16,60,1372,32240,20,551,12991
17,48,1277,28612,16,470,11733
18,100,1698,44081,20,791,16358
19,65,1347,31426,18,561,12623
20,67,1236,29306,15,544,11388
21,20,756,16879,11,245,6886
22,62,1268,28555,17,537,11691
23,55,1296,28267,17,495,11693
24,75,1467,34910,17,635,13661
25,91,1731,44336,19,756,16624
26,8,637,12962,8,149,5470
27,55,1330,29176,18,507,12118
28,51,1098,24343,16,453,10023
29,53,1015,23667,14,437,9347
30,58,1230,27160,15,498,11128
31,29,893,18805,14,311,8005
32,37,811,18436,15,344,7572
33,39,959,20892,13,355,8572
34,65,1140,27210,17,537,10715
35,35,989,20329,11,337,8609
36,36,723,16270,13,321,6696
37,49,1055,23213,14,415,9495
38,37,769,17473,16,342,7233
39,44,973,22136,15,398,8985
40,50,940,22342,16,430,8925
41,21,643,14145,11,221,5806
42,38,720,16702,12,308,6633
43,34,541,12510,12,277,5088
44,33,803,16611,11,299,7058
45,35,870,18812,14,328,7880
46,31,623,14949,12,279,5936
47,23,726,16335,9,243,6580
48,24,554,11764,11,223,4990
49,48,995,21443,13,412,8851
50,49,865,18992,14,399,7869
51,56,875,21690,13,431,8282
52,62,1028,23876,16,499,9622
53,29,517,10919,12,247,4657
54,25,749,15555,13,260,6615
55,32,689,15634,12,279,6298
56,44,871,21014,14,390,8255
57,32,709,14844,13,290,6316
58,17,549,12171,9,195,5008
59,33,775,15682,14,296,6816
60,22,494,11305,10,201,4572
61,25,590,11840,11,230,5173
62,36,818,19174,14,333,7682
63,30,706,14640,13,295,6385
64,49,913,20629,15,420,8449
65,21,429,9421,9,196,3933
66,10,528,11056,7,140,4580
67,48,813,18225,12,376,7385
68,31,803,16666,13,292,7100
69,33,797,17369,12,308,7154
70,27,497,10473,13,236,4515
71,25,483,10370,13,226,4441
72,27,761,16127,13,278,6860
73,26,531,12234,11,225,4928
74,34,668,14732,12,287,6059
75,10,366,7784,8,124,3306
76,42,873,18370,15,364,7841
77,36,707,15369,13,309,6396
78,37,764,17254,14,320,7045
79,21,643,13439,10,224,5658
80,19,427,9060,10,184,3883
81,23,662,15277,13,247,6185
82,49,851,19676,13,379,7803
83,21,580,11762,10,209,5056
84,17,442,9153,10,176,3964
85,36,580,12340,11,291,5243
86,25,508,10832,12,225,4586
87,21,382,8959,9,180,3579
88,18,520,11319,10,186,4664
89,26,577,11674,11,232,5034
90,19,465,10323,12,197,4319
91,29,501,11248,12,237,4643
92,39,673,15800,13,318,6309
93,10,370,7854,7,118,3250
94,28,609,13787,11,265,5596
95,17,403,9376,10,175,3803
96,24,438,10139,10,203,4117
97,22,390,8614,9,179,3488
98,26,375,8329,12,209,3499
99,10,386,8573,8,125,3508
100,34,546,12821,12,284,5165
101,24,414,8943,10,201,3774
102,18,396,8029,9,164,3503
103,28,465,10629,11,238,4340
104,12,283,5868,7,111,2464
105,24,543,12222,12,228,5014
106,13,378,7904,7,133,3309
107,14,346,7160,8,139,3071
108,21,474,10460,11,195,4310
109,15,503,10501,9,167,4426
110,24,562,12415,10,214,5041
111,35,719,16079,10,293,6548
112,16,398,8468,9,155,3569
113,17,383,8132,8,154,3395
114,33,489,10322,12,261,4428
115,17,589,12860,8,188,5234
116,12,555,10975,9,156,4755
117,36,626,13795,13,308,5826
118,10,204,4574,6,94,1877
119,12,586,11935,8,157,5068
120,28,483,11751,11,222,4580
121,18,397,8819,10,173,3674
122,34,507,12126,11,265,4782
123,33,521,12064,12,272,4892
124,31,532,11109,11,258,4738
125,29,463,10394,10,225,4205
126,20,425,8710,11,182,3707
127,17,375,8263,11,170,3431
128,15,342,7522,9,144,3127
129,20,413,8026,8,174,3553
130,11,446,9392,9,138,3954
131,22,386,8816,10,181,3564
132,20,433,8568,9,170,3711
133,14,389,8412,10,148,3494
134,10,348,7194,7,121,3036
