Node,WiD1,WiD2,WiD3,WiH1,WiH2,WiH3
0,116,1036,21940,15,405,5121
1,82,703,12497,11,259,3174
2,18,255,2481,6,69,926
3,59,696,9913,12,229,3028
4,46,538,6752,9,177,2170
5,13,236,2569,7,65,933
6,41,603,6869,11,175,2417
7,30,360,4159,8,112,1450
8,28,348,3967,7,112,1390
9,76,585,10812,11,234,2710
10,17,262,2597,5,67,949
11,45,359,5104,7,148,1492
12,17,224,2620,4,65,855
13,3,208,1972,3,32,715
14,15,249,2388,5,68,891
15,26,251,2850,6,86,940
16,20,376,3557,8,94,1381
17,37,399,4660,10,136,1675
18,24,203,2377,7,83,850
19,57,376,6607,8,172,1681
20,29,261,3071,7,99,1035
21,10,215,2334,5,53,832
22,9,156,1567,4,41,562
23,24,258,2902,5,83,973
24,18,128,1307,4,62,490
25,13,105,1492,4,49,454
26,5,70,988,3,27,305
27,31,393,4360,8,117,1546
28,10,111,1082,4,37,401
29,29,278,3131,9,110,1148
30,21,238,2811,7,85,967
31,23,222,2533,7,77,869
32,14,174,1857,6,63,684
33,28,261,2736,6,90,964
34,20,241,2375,5,70,853
35,17,286,2982,7,77,1091
36,41,444,5009,9,145,1763
37,33,320,3790,6,112,1235
38,34,314,3740,8,112,1278
39,7,151,1434,3,39,516
40,9,243,2402,6,56,904
41,2,100,1079,2,21,368
42,16,156,1863,5,56,633
43,17,195,2476,6,71,823
44,25,268,2782,6,87,991
45,2,69,828,2,20,268
46,24,188,2304,6,79,751
47,20,173,1836,5,67,655
48,12,165,1681,4,50,595
49,10,121,1275,5,44,463
50,36,223,3302,6,104,934
51,16,137,1231,5,55,503
52,3,64,712,2,21,249
53,9,183,1845,6,48,693
54,7,70,675,4,31,275
55,18,177,1611,6,66,653
56,15,218,2149,5,58,795
57,19,170,2185,5,67,699
58,35,217,3303,6,101,918
59,15,187,2108,5,59,740
60,4,73,645,3,20,257
61,28,179,2445,6,86,743
62,9,83,894,5,38,339
63,14,133,1517,5,52,525
64,2,76,875,2,17,284
65,6,59,686,4,25,231
66,8,67,856,5,37,301
67,14,130,1475,5,54,514
68,36,206,2827,6,107,844
69,7,155,1486,3,33,556
70,13,203,2016,4,54,736
71,10,99,869,6,41,374
72,20,167,1939,5,67,667
73,6,94,1053,4,32,379
74,2,64,647,2,13,226
75,5,38,303,3,19,138
76,3,163,1815,3,31,621
77,9,105,1133,4,34,400
78,11,148,1413,3,42,500
79,20,148,1903,5,66,621
80,7,172,1714,3,36,621
81,11,110,1089,4,42,401
82,5,115,1033,3,26,382
83,15,115,1240,5,51,462
84,8,161,1651,4,40,609
85,4,42,468,3,16,169
86,5,66,739,3,22,253
87,6,93,806,4,30,322
88,11,117,1314,4,42,436
89,5,158,1529,3,33,581
90,6,114,1139,4,31,404
91,3,155,1497,3,28,555
92,5,49,559,4,23,193
93,4,140,1410,3,27,516
94,4,84,708,4,22,279
95,5,39,541,3,22,176
96,7,150,1513,4,36,559
97,4,39,468,3,17,153
98,20,161,2047,5,72,670
99,4,87,1049,3,24,339
100,7,75,836,4,32,301
101,2,35,313,2,11,127
102,11,103,936,4,39,368
103,9,61,675,3,30,238
104,9,185,1668,4,42,650
105,7,100,848,5,34,364
106,11,202,2019,4,49,731
107,3,123,1060,2,21,391
108,4,90,1115,3,26,363
109,18,134,1242,6,56,507
110,4,139,1554,3,30,535
111,4,65,636,4,22,242
112,4,50,545,3,18,196
113,4,145,1495,3,28,529
114,2,120,1046,2,19,382
115,8,55,489,4,30,215
116,7,64,630,3,27,242
117,4,57,480,3,21,201
118,13,137,1410,4,43,484
119,2,108,1014,2,20,362
120,7,69,623,4,32,268
121,15,184,1711,5,55,632
122,6,106,912,4,29,356
123,11,85,882,4,39,331
124,8,96,1039,4,34,364
125,8,193,2071,5,49,746
126,5,77,904,3,24,305
127,15,138,1335,6,54,518
128,7,49,560,3,23,193
129,9,118,1208,4,35,420
130,2,38,367,2,12,135
131,5,69,653,3,22,237
132,3,178,1619,2,27,613
133,5,168,1873,2,34,638
134,6,72,570,4,25,252
135,3,29,288,2,12,108
136,3,32,413,2,13,123
137,3,98,897,2,21,335
138,8,69,584,3,26,236
139,6,51,630,3,23,203
140,10,111,1205,5,43,444
141,8,101,1001,3,31,352
142,11,92,1366,3,41,395
