Node,SIR,Infected_sum,Normalized_SIR
13,0.000223,0,0.0018354938625673967
14,0.0002,0,0.0005162326488470806
22,0.00028,0,0.005104967305265572
24,0.000252,0,0.0034989101755191006
25,0.000202,0,0.0006309510152575426
26,0.0004,0,0.011988069289893315
27,0.000247,0,0.003212114259492944
28,0.000208,0,0.0009751061144889286
29,0.000206,0,0.0008603877480784666
45,0.017333,0,0.9832511185040727
46,0.016684,0,0.9460250086038776
62,0.000479,0,0.016519444763106572
65,0.000451,0,0.014913387633360104
70,0.000217,0,0.0014913387633360092
71,0.000203,0,0.0006883101984627736
74,0.000214,0,0.0013192612137203161
75,0.000211,0,0.0011471836641046233
78,0.000281,0,0.005162326488470805
80,0.000229,0,0.0021796489617987845
81,0.000246,0,0.0031547550762877144
82,0.000203,0,0.0006883101984627736
85,0.000202,0,0.0006309510152575426
88,0.007439,0,0.4157393598715155
93,0.000274,0,0.004760812206034186
95,0.000216,0,0.0014339795801307782
97,0.000216,0,0.0014339795801307782
98,0.000202,0,0.0006309510152575426
106,0.000302,0,0.00636686933578066
113,0.000305,0,0.006538946885396351
114,0.00024,0,0.002810599977056327
115,0.000218,0,0.0015486979465412418
122,0.000336,0,0.008317081564758516
123,0.000208,0,0.0009751061144889286
124,0.000279,0,0.005047608122060342
128,0.000254,0,0.0036136285419295627
135,0.000895,0,0.04038086497648274
140,0.000271,0,0.004588734656418491
141,0.000261,0,0.004015142824366181
142,0.000222,0,0.0017781346793621657
161,0.000242,0,0.002925318343466789
163,0.001183,0,0.056900309739589316
164,0.000228,0,0.002122289778593553
165,0.000219,0,0.0016060571297464728
178,0.000918,0,0.04170012619020306
179,0.000295,0,0.005965355053344041
183,0.000209,0,0.0010324652976941612
185,0.001323,0,0.06493059538832167
187,0.000217,0,0.0014913387633360092
188,0.000215,0,0.0013766203969255472
192,0.000379,0,0.010783526442583458
193,0.000432,0,0.01382356315246071
194,0.000203,0,0.0006883101984627736
195,0.000417,0,0.012963175404382242
197,0.000229,0,0.0021796489617987845
199,0.000222,0,0.0017781346793621657
200,0.000699,0,0.02913846506825743
205,0.000354,0,0.009349546862452679
214,0.000743,0,0.0316622691292876
215,0.00142,0,0.07049443615922911
231,0.009427,0,0.529769416083515
232,0.000249,0,0.003326832625903406
238,0.000253,0,0.003556269358724333
244,0.000313,0,0.006997820351038203
245,0.000283,0,0.005277044854881266
252,0.000213,0,0.0012619020305150851
253,0.000237,0,0.0026385224274406323
254,0.000202,0,0.0006309510152575426
260,0.000371,0,0.01032465297694161
267,0.000244,0,0.003040036709877251
269,0.000262,0,0.0040725020075714135
272,0.00035,0,0.009120110129631754
281,0.000436,0,0.014052999885281635
283,0.000225,0,0.0019502122289778588
284,0.000239,0,0.002753240793851096
293,0.000228,0,0.002122289778593553
294,0.000203,0,0.0006883101984627736
299,0.000271,0,0.004588734656418491
302,0.000304,0,0.006481587702191122
309,0.000268,0,0.004416657106802799
